เพลง,ศิลปิน,
รักพี่ไข่นุ้ย,18 กะรัต,
,4 ช่ามหาสนุก,
ดีมั่วชั่วเลว,9 สเต็ป,
ตัวเท่าแต็ด,9 สเต็ป,
เสียทองเท่าหัวเอาแฟนฉันไปได้เลย,9 สเต็ป,
ผู้หญิงก็อาจจะเป็น,9 สเต็ป,
ของไทยแจ๋วนะพี่,9สาวดาวแดนซ์,
บ้านหนูอยู่ซอยลึก,9สาวดาวแดนซ์,
ผู้ใหญ่หลอกเด็ก,9สาวดาวแดนซ์,
ฟิตพอหรือยัง,9สาวดาวแดนซ์,
สิงคะนองนา,9สาวดาวแดนซ์,
เสียแล้วถึงรู้,9สาวดาวแดนซ์,
หล่อโดนใจ,กรรณิการ์,
ตาย.....ถึงหายเจ็บ(นายพราน 2),กล้วย แสตมป์,
นางฟ้าตกนรก,กล้วย แสตมป์,
สะพาน (รอยเท้ากลางหัวใจ),กล้วย แสตมป์,
คิดถึง,กวาง โกมลฐิติ,
จันทร์แจ่มฟ้า,กวาง โกมลฐิติ,
จำใจไกล,กวาง โกมลฐิติ,
ตะวัน,กวาง โกมลฐิติ,
ถามลม,กวาง โกมลฐิติ,
ทางแยก,กวาง โกมลฐิติ,
ฝัน,กวาง โกมลฐิติ,
เพียงดาว,กวาง โกมลฐิติ,
ร้องไห้เถิดหัวใจ,กวาง โกมลฐิติ,
เรารักกันแล้ว,กวาง โกมลฐิติ,
หยาดรุ้ง,กวาง โกมลฐิติ,
อย่าหลบสายตา,กวาง โกมลฐิติ,
ธรรมชาติวังเวียง,ก.วิเสส,
ปลาแดกก้นไห,ก.วิเสส,
รักกับคนรถ,ก้อง กาจกำแหง,
คนนี้ฉันเอาแล้ว,ก้อย กินรี,
ฝนน้ำตา,ก้อย กินรี,
แล้วแต่เขาเราได้เพ,ก้อย กินรี,
ให้เธอทำเฒ่า,ก้อย กินรี,
ชินชา,กอล์ฟ เดอะนีดส์,
เปิดอก,กอล์ฟ เดอะนีดส์,
พระจันทร์กับดอกทานตะวัน,กอล์ฟ เดอะนีดส์,
